from_stop_id,to_stop_id,transfer_type,min_transfer_time
3926281,1882,2,207
7376290,2286,2,257
5121347,1747,2,284
6217394,2242,2,271
3747811,1890,2,198
3764734,1819,2,227
3687071,2513,2,225
4045021,2460,2,243
3764611,2488,2,257
3807630,1678,2,270
3765247,2162,2,205
5231588,1873,2,195
3749785,2457,2,253
4726751,2162,2,205
4036656,1702,2,282
4996987,1647,2,254
7176400,1651,2,270
7714336,1747,2,201
3764797,1890,2,186
3764767,2460,2,199
967989,2527,2,180
5727641,2162,2,225
3687262,2151,2,224
7275303,1946,2,253
7013445,2355,2,234
3811242,1946,2,193
5121859,1804,2,240
3740557,2358,2,227
4726955,1647,2,254
3926282,2133,2,192
3672265,2423,2,213
3807572,2447,2,213
1834,2531,2,200
3687261,2151,2,194
5727677,1747,2,284
4008247,2353,2,231
3687680,2269,2,187
1722,1715,2,480
3926397,2527,2,217
3813134,2162,2,194
3765239,1708,2,225
4015756,2425,2,216
5657311,1882,2,203
7131568,1884,2,197
5121379,2549,2,221
7069441,2088,2,319
7275303,2201,2,253
3343775,1678,2,180
4996987,2527,2,254
7714338,2425,2,232
4037171,1651,2,204
3343769,2447,2,180
5727676,2425,2,201
4008203,1972,2,279
4726958,2001,2,268
7376286,1715,2,243
5121340,2549,2,251
3672105,2531,2,270
6423488,2531,2,201
3893406,2441,2,241
7069439,2088,2,316
3749912,1819,2,244
2102,1890,2,250
4036751,1890,2,186
3749911,2358,2,227
3811231,1972,2,227
7013439,2425,2,201
4036827,1890,2,257
6423487,1651,2,201
5121808,1804,2,243
3343774,2001,2,180
4726932,1647,2,229
1971,1972,2,133
4009644,1715,2,243
7827025,2088,2,316
4022958,2441,2,223
3811243,1946,2,194
4036620,1993,2,262
3748084,2531,2,204
4015756,1747,2,216
6423473,1844,2,232
3926277,2423,2,207
3681809,2280,2,226
7827023,2088,2,221
2310,1844,2,106
3926280,2278,2,213
3685920,1993,2,213
3747929,2513,2,239
3716874,2286,2,254
3893474,1819,2,212
6423482,2032,2,195
6217400,1637,2,194
3893405,2441,2,223
3740527,2291,2,233
7647697,1745,2,208
7647697,2423,2,208
4726961,1702,2,192
4726958,1678,2,189
3764771,1946,2,208
6217399,1637,2,216
4045020,2358,2,244
4008277,2440,2,213
4008886,2242,2,192
3764656,2488,2,257
7376290,1890,2,257
6423471,1844,2,198
5018189,1890,2,198
3893337,1890,2,198
3749693,1715,2,243
7131599,2549,2,319
1971,2227,2,99
5231633,2183,2,270
3765235,1637,2,208
3807570,2001,2,198
3765233,1637,2,224
3740538,2242,2,210
3687070,1633,2,194
3765150,2286,2,198
6423488,1651,2,201
5710028,1702,2,199
6591501,1747,2,284
2302,1651,2,209
4015760,1884,2,297
1820,2358,2,62
6423480,2032,2,282
5419723,2343,2,228
3740323,1637,2,214
2359,1819,2,51
6423468,2527,2,243
4008203,2227,2,279
3926257,2423,2,237
4726932,2527,2,229
3716944,1890,2,241
5121343,2280,2,302
1766,2527,2,101
6640122,2269,2,208
5657311,2278,2,203
3687070,2513,2,194
4008863,1917,2,271
3748066,1651,2,201
3765228,2162,2,194
4726959,2190,2,198
3765230,1895,2,203
6423486,1651,2,189
6423472,1844,2,235
3926278,1745,2,203
4008277,1762,2,213
3740528,2291,2,245
3740551,2242,2,267
3749775,2457,2,198
3811247,2162,2,272
5231633,1993,2,270
6423485,1709,2,198
3893337,2286,2,198
5121562,2425,2,189
4036660,1890,2,257
4146113,2423,2,219
2102,2286,2,250
1687,1637,2,110
4008836,1890,2,198
4024982,1804,2,306
3740551,1917,2,267
3749775,1712,2,198
3812997,1895,2,214
7714380,2425,2,218
4726960,1712,2,198
3749774,2001,2,198
4045020,1819,2,244
1843,1844,2,98
5454900,1712,2,267
3749913,1715,2,243
6263559,1993,2,191
4459265,1633,2,225
3926257,1745,2,237
2531,1832,2,153
1766,1647,2,113
